代號,名稱,市場,,,,,,,,,,,,,PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
1440,南紡,市,,,,,,,,,,,,,10.4,0.87,,,,,
1441,大東,市,,,,,,,,,,,,,10.5,1.7,,,,,
1442,名軒,市,,,,,,,,,,,,,8.32,3.73,,,,,
1443,立益物流,市,,,,,,,,,,,,,20.5,2.05,,,,,
1444,力麗,市,,,,,,,,,,,,,,0.82,,,,,
1445,大宇,市,,,,,,,,,,,,,2.24,0.93,,,,,
1446,宏和,市,,,,,,,,,,,,,5.78,2.99,,,,,
1447,力鵬,市,,,,,,,,,,,,,,0.71,,,,,
1449,佳和,市,,,,,,,,,,,,,31.9,1.38,,,,,
1451,年興,市,,,,,,,,,,,,,67.4,0.6,,,,,
1452,宏益,市,,,,,,,,,,,,,28.3,0.77,,,,,
1453,大將,市,,,,,,,,,,,,,24,1.19,,,,,
1454,台富,市,,,,,,,,,,,,,73.4,1.24,,,,,
1455,集盛,市,,,,,,,,,,,,,47.6,0.83,,,,,
1456,怡華,市,,,,,,,,,,,,,,1.1,,,,,
1457,宜進,市,,,,,,,,,,,,,6.24,0.86,,,,,
1459,聯發,市,,,,,,,,,,,,,26.8,1.03,,,,,
1460,宏遠,市,,,,,,,,,,,,,,0.83,,,,,
1463,強盛新,市,,,,,,,,,,,,,55.6,1.83,,,,,
1464,得力,市,,,,,,,,,,,,,25.8,1.36,,,,,
1465,偉全,市,,,,,,,,,,,,,78.4,0.94,,,,,
1466,聚隆,市,,,,,,,,,,,,,,1.08,,,,,
1467,南緯,市,,,,,,,,,,,,,27.8,0.85,,,,,
1468,昶和,市,,,,,,,,,,,,,25.6,1.75,,,,,
1470,大統新創,市,,,,,,,,,,,,,27.5,1.81,,,,,
1471,首利,市,,,,,,,,,,,,,81.6,1.58,,,,,
1472,三洋實業,市,,,,,,,,,,,,,22,1.77,,,,,
1473,台南,市,,,,,,,,,,,,,12.6,1.33,,,,,
1474,弘裕,市,,,,,,,,,,,,,12.6,0.79,,,,,
1475,業旺,市,,,,,,,,,,,,,9.85,2.61,,,,,
1476,儒鴻,市,,,,,,,,,,,,,22.9,5.35,,,,,
1477,聚陽,市,,,,,,,,,,,,,18.8,5.68,,,,,
1503,士電,市,,,,,,,,,,,,,36.1,2.72,,,,,
1504,東元,市,,,,,,,,,,,,,19.4,1.39,,,,,
1506,正道,市,,,,,,,,,,,,,112,1.48,,,,,
1512,瑞利,市,,,,,,,,,,,,,,2.05,,,,,
1513,中興電,市,,,,,,,,,,,,,22.4,4.33,,,,,
1514,亞力,市,,,,,,,,,,,,,33.4,5.31,,,,,
1515,力山,市,,,,,,,,,,,,,11.3,1.46,,,,,
1516,川飛,市,,,,,,,,,,,,,78,1.5,,,,,
1517,利奇,市,,,,,,,,,,,,,,0.87,,,,,
1519,華城,市,,,,,,,,,,,,,41.8,22.2,,,,,
1521,大億,市,,,,,,,,,,,,,206,1.47,,,,,
1522,堤維西,市,,,,,,,,,,,,,10.8,2.15,,,,,
1522A,堤維西甲特,市,,,,,,,,,,,,,,,,,,,
1524,耿鼎,市,,,,,,,,,,,,,13.3,2.22,,,,,
1525,江申,市,,,,,,,,,,,,,17.6,0.97,,,,,
1526,日馳,市,,,,,,,,,,,,,,1.03,,,,,
1527,鑽全,市,,,,,,,,,,,,,13.8,1.26,,,,,
1528,恩德,市,,,,,,,,,,,,,,1.41,,,,,
1529,樂事綠能,市,,,,,,,,,,,,,61.1,2.24,,,,,
1530,亞崴,市,,,,,,,,,,,,,21.9,0.9,,,,,
1531,高林股,市,,,,,,,,,,,,,156,0.78,,,,,
1532,勤美,市,,,,,,,,,,,,,7.75,0.9,,,,,
1533,車王電,市,,,,,,,,,,,,,,1.91,,,,,
1535,中宇,市,,,,,,,,,,,,,14.5,2.14,,,,,
1536,和大,市,,,,,,,,,,,,,,2.01,,,,,
1537,廣隆,市,,,,,,,,,,,,,14.7,2.98,,,,,
1538,正峰,市,,,,,,,,,,,,,,5.09,,,,,
1539,巨庭,市,,,,,,,,,,,,,21.1,0.95,,,,,
1540,喬福,市,,,,,,,,,,,,,20.1,2.14,,,,,
1541,錩泰,市,,,,,,,,,,,,,19.3,1.1,,,,,
1558,伸興,市,,,,,,,,,,,,,16.9,1.25,,,,,
1560,中砂,市,,,,,,,,,,,,,46.3,6.49,,,,,
1563,巧新,市,,,,,,,,,,,,,17.7,1.45,,,,,
1568,倉佑,市,,,,,,,,,,,,,28.7,1.56,,,,,
1582,信錦,市,,,,,,,,,,,,,13.6,1.8,,,,,
1583,程泰,市,,,,,,,,,,,,,11.5,1.17,,,,,
1587,吉茂,市,,,,,,,,,,,,,,2.12,,,,,
1589,永冠-KY,市,,,,,,,,,,,,,,0.56,,,,,
