代號,名稱,市場,,,,,,,,,,,,,PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
3556,禾瑞亞,櫃,,,,,,,,,,,,,98.9,2.6,,,,,
3558,神準,櫃,,,,,,,,,,,,,44.9,2.35,,,,,
3564,其陽,櫃,,,,,,,,,,,,,82.4,3.42,,,,,
3567,逸昌,櫃,,,,,,,,,,,,,15.7,1.89,,,,,
3570,大塚,櫃,,,,,,,,,,,,,14.7,3.25,,,,,
3577,泓格,櫃,,,,,,,,,,,,,38.4,3.01,,,,,
3580,友威科,櫃,,,,,,,,,,,,,19.6,3.69,,,,,
3581,博磊,櫃,,,,,,,,,,,,,,3.74,,,,,
3587,閎康,櫃,,,,,,,,,,,,,24.3,3.62,,,,,
3594,磐儀,櫃,,,,,,,,,,,,,67.1,2.09,,,,,
3597,映興,櫃,,,,,,,,,,,,,98,3.22,,,,,
3609,三一東林,櫃,,,,,,,,,,,,,,6.03,,,,,
3611,鼎翰,櫃,,,,,,,,,,,,,13.5,1.86,,,,,
3615,安可,櫃,,,,,,,,,,,,,89.1,0.94,,,,,
3623,富晶通,櫃,,,,,,,,,,,,,,2.09,,,,,
3624,光頡,櫃,,,,,,,,,,,,,26.4,1.7,,,,,
3625,西勝,櫃,,,,,,,,,,,,,,3.43,,,,,
3628,盈正,櫃,,,,,,,,,,,,,29.6,1.31,,,,,
3629,地心引力,櫃,,,,,,,,,,,,,,8.94,,,,,
3630,新鉅科,櫃,,,,,,,,,,,,,,1.99,,,,,
3631,晟楠,櫃,,,,,,,,,,,,,,2.59,,,,,
3632,研勤,櫃,,,,,,,,,,,,,,3.9,,,,,
3646,艾恩特,櫃,,,,,,,,,,,,,17.9,2.12,,,,,
3663,鑫科,櫃,,,,,,,,,,,,,169,4.52,,,,,
3664,安瑞-KY,櫃,,,,,,,,,,,,,2165,4.31,,,,,
3666,光耀,櫃,,,,,,,,,,,,,,3.37,,,,,
3672,康聯訊,櫃,,,,,,,,,,,,,,2.36,,,,,
3675,德微,櫃,,,,,,,,,,,,,32.4,5.07,,,,,
3680,家登,櫃,,,,,,,,,,,,,41.3,5.04,,,,,
3684,榮昌,櫃,,,,,,,,,,,,,26.5,2.13,,,,,
3685,元創精密,櫃,,,,,,,,,,,,,,1.65,,,,,
3687,歐買尬,櫃,,,,,,,,,,,,,40.7,2.03,,,,,
3689,湧德,櫃,,,,,,,,,,,,,19.6,2.02,,,,,
3691,碩禾,櫃,,,,,,,,,,,,,,1.16,,,,,
3693,營邦,櫃,,,,,,,,,,,,,14.5,3.39,,,,,
3707,漢磊,櫃,,,,,,,,,,,,,,2.61,,,,,
3709,鑫聯大投控,櫃,,,,,,,,,,,,,19.2,1.41,,,,,
3710,連展投控,櫃,,,,,,,,,,,,,,2.04,,,,,
3713,新晶投控,櫃,,,,,,,,,,,,,,2.87,,,,,
4102,永日,櫃,,,,,,,,,,,,,15.5,2.01,,,,,
4105,東洋,櫃,,,,,,,,,,,,,16.8,3.02,,,,,
4107,邦特,櫃,,,,,,,,,,,,,17.5,2.66,,,,,
4109,加捷生醫,櫃,,,,,,,,,,,,,6.19,1.8,,,,,
4111,濟生,櫃,,,,,,,,,,,,,22,1.28,,,,,
4113,聯上,櫃,,,,,,,,,,,,,9.67,1.6,,,,,
4114,健喬,櫃,,,,,,,,,,,,,19.9,2.02,,,,,
4116,明基醫,櫃,,,,,,,,,,,,,19.3,2.03,,,,,
4120,友華,櫃,,,,,,,,,,,,,22,0.81,,,,,
4121,優盛,櫃,,,,,,,,,,,,,,0.95,,,,,
4123,晟德,櫃,,,,,,,,,,,,,,1.62,,,,,
4126,太醫,櫃,,,,,,,,,,,,,16.1,2.35,,,,,
4127,天良,櫃,,,,,,,,,,,,,120,3.69,,,,,
4128,中天,櫃,,,,,,,,,,,,,,2.02,,,,,
4129,聯合,櫃,,,,,,,,,,,,,20.4,2.49,,,,,
4130,健亞,櫃,,,,,,,,,,,,,156,1.65,,,,,
4131,浩泰,櫃,,,,,,,,,,,,,,3.74,,,,,
4138,曜亞,櫃,,,,,,,,,,,,,17.1,2.33,,,,,
4139,馬光-KY,櫃,,,,,,,,,,,,,,3,,,,,
4147,中裕,櫃,,,,,,,,,,,,,,5.77,,,,,
4153,鈺緯,櫃,,,,,,,,,,,,,27.1,2.4,,,,,
4154,樂威科-KY,櫃,,,,,,,,,,,,,,2.15,,,,,
4157,太景*-KY,櫃,,,,,,,,,,,,,48,7.74,,,,,
